Team ID , Team  , Region , Country , Track , Section , Size , Status
1196,AHUT_China,Asia,China,Environment,Overgrad,17,Accepted
1098,AITM-Nepal,Asia,Nepal,Health & Medicine,Overgrad,33,Accepted
1161,Alberta,North America,Canada,Information Processing,Undergrad,10,Accepted
1200,AMU-Poznan,Europe,Poland,Software Tools,Overgrad,7,Accepted
996,AnatoliaGreece,Europe,Greece,Health & Medicine(P),High School,10,Accepted
1190,Arizona_State,North America,United States,Health & Medicine,Undergrad,11,Accepted
1202,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Undergrad,23,Accepted
993,AUC_TURKEY,Europe,Turkey,New Application(P),High School,11,Accepted
1109,Baskent_Meds,Europe,Turkey,Health & Medicine,Overgrad,11,Accepted
984,Beijing_BHSF,Asia,China,New Application(P),High School,16,Accepted
994,Beijing_HDFLS_High,Asia,China,Environment(P),High School,20,Accepted
1131,Berkeley,North America,United States,Manufacturing,Undergrad,9,Accepted
1223,BGU_Israel,Europe,Israel,Environment,Overgrad,17,Accepted
1172,Bielefeld-Germany,Europe,Germany,Food & Energy,Overgrad,15,Accepted
978,BioscienceDragons_AZ,North America,United States,Food & Energy(P),High School,26,Accepted
1130,BIOSINT_Mexico,Latin America,Mexico,Health & Medicine,Overgrad,11,Accepted
1058,BIT,Asia,China,Food & Energy,Undergrad,28,Accepted
1117,BIT-China,Asia,China,New Application,Undergrad,20,Accepted
1044,Biwako_Nagahama,Asia,Japan,Environment,Undergrad,24,Accepted
1005,BJ12HS,Asia,China,,High School,0,Pending
999,BJHS_Madison_AL,North America,United States,,High School,16,Accepted
1191,BME_Slugs,North America,United States,,Overgrad,0,Deleted
1075,Bonn,Europe,Germany,Foundational Advance,Overgrad,28,Accepted
1148,Bordeaux,Europe,France,Food & Energy,Overgrad,27,Accepted
1114,BostonU,North America,United States,Foundational Advance,Undergrad,10,Accepted
1073,Braunschweig,Europe,Germany,New Application,Overgrad,13,Accepted
1129,British_Columbia,North America,Canada,Food & Energy,Undergrad,18,Accepted
1106,Buenos_Aires,Latin America,Argentina,Environment,Overgrad,16,Accepted
977,BV_CAPS_Kansas,North America,United States,Food & Energy(P),High School,11,Accepted
1195,BYU_Provo,North America,United States,Foundational Advance,Overgrad,14,Accepted
1189,Calgary,North America,Canada,Food & Energy,Undergrad,22,Accepted
1236,Calgary_Entrepreneurial,North America,Canada,Entrepreneurship,Overgrad,9,Accepted
