Team ID , Team  , Region , Country , Track , Section , Size , Status
182,Aberdeen_Scotland,Europe,United Kingdom,New Application,IGEM,21,Accepted
187,Alberta,North America,Canada,Foundational Advance,IGEM,30,Accepted
178,Amsterdam,Europe,Netherlands,,IGEM,10,Withdrawn
221,ArtScienceBangalore,Asia,India,New Application,IGEM,12,Accepted
184,Bay_Area_RSI,North America,United States,Health/Medicine,IGEM,8,Withdrawn
259,BCCS-Bristol,Europe,United Kingdom,Foundational Advance,IGEM,16,Accepted
198,Berkeley_Software,North America,United States,Software Tools,IGEM,9,Accepted
197,Berkeley_Wetlab,North America,United States,Foundational Advance,IGEM,13,Accepted
260,BIOTEC_Dresden,Europe,Germany,Manufacturing,IGEM,14,Accepted
201,Bologna,Europe,Italy,Foundational Advance,IGEM,15,Accepted
206,British_Columbia,North America,Canada,Foundational Advance,IGEM,14,Accepted
212,Brown,North America,United States,Health/Medicine,IGEM,12,Accepted
213,BrownTwo,North America,United States,,IGEM,2,Withdrawn
218,Calgary,North America,Canada,Foundational Advance,IGEM,16,Accepted
274,Cambridge,Europe,United Kingdom,Environment,IGEM,12,Accepted
236,CBNU-Korea,Asia,Korea, Republic Of,Software Tools,IGEM,14,Accepted
247,Chiba,Asia,Japan,Manufacturing,IGEM,10,Accepted
226,CityColSanFrancisco,North America,United States,Food/Energy,IGEM,15,Accepted
285,Cornell,North America,United States,Environment,IGEM,9,Accepted
194,DTU_Denmark,Europe,Denmark,Manufacturing,IGEM,10,Accepted
282,Duke,North America,United States,Manufacturing,IGEM,10,Accepted
281,DUKE-NCSSM,North America,,,IGEM,0,Deleted
216,Edinburgh,Europe,United Kingdom,Environment,IGEM,10,Accepted
191,EPF-Lausanne,Europe,Switzerland,Foundational Advance,IGEM,15,Accepted
251,ESBS-Strasbourg,Europe,France,,IGEM,9,Withdrawn
243,Freiburg_bioware,Europe,Germany,Foundational Advance,IGEM,21,Accepted
279,Freiburg_software,Europe,United States,Software Tools,IGEM,7,Accepted
230,Gaston_Day_School,North America,United States,Environment,IGEM,10,Accepted
190,Groningen,Europe,Netherlands,Environment,IGEM,12,Accepted
207,Harvard,North America,United States,New Application,IGEM,13,Accepted
203,Heidelberg,Europe,Germany,Foundational Advance,IGEM,22,Accepted
283,HKU-HKBU,Asia,Hong Kong,Manufacturing,IGEM,25,Accepted
211,HKUST,Asia,Hong Kong,New Application,IGEM,20,Accepted
233,IBB_Pune,Asia,India,Information Processing,IGEM,9,Accepted
275,IGIB-Delhi,Asia,India,,IGEM,1,Withdrawn
255,IIT_Bombay_India,Asia,India,Foundational Advance,IGEM,15,Accepted
272,IIT_Madras,Asia,India,New Application,IGEM,12,Accepted
252,Illinois,North America,United States,Information Processing,IGEM,14,Accepted
261,Illinois-Tools,North America,United States,Software Tools,IGEM,9,Accepted
200,Imperial College London,Europe,United Kingdom,Manufacturing,IGEM,16,Accepted
280,Indiana,North America,United States,Foundational Advance,IGEM,8,Withdrawn
266,IPN-UNAM-Mexico,Latin America,Mexico,Foundational Advance,IGEM,18,Accepted
287,IPOC1-Colombia,Latin America,Colombia,Environment,IGEM,15,Accepted
288,IPOC2-Colombia,Latin America,Colombia,Environment,IGEM,16,Accepted
186,Iran,Asia,Iran, Islamic Republic Of,,IGEM,0,Deleted
