Team ID , Team  , Region , Country , Track , Section , Size , Status
1585,Aachen,Europe,Germany,Manufacturing,Overgrad,24,Accepted
1655,Aalto-Helsinki,Europe,Finland,Energy,Undergrad,12,Accepted
1751,AHUT_China,Asia,China,Food & Nutrition,Undergrad,37,Accepted
1601,Aix-Marseille,Europe,France,Environment,Overgrad,24,Accepted
1719,Amoy,Asia,China,Foundational Advance,Undergrad,19,Accepted
1844,Amsterdam,Europe,Netherlands,Energy,Overgrad,7,Accepted
1750,ANU-Canberra,Asia,Australia,Foundational Advance,Undergrad,12,Accepted
1639,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Undergrad,31,Accepted
1806,AUC_TURKEY,Europe,Turkey,High School,High School,12,Accepted
1627,Austin_UTexas,North America,United States,Foundational Advance,Undergrad,16,Accepted
1677,BABS_UNSW_Australia,Asia,Australia,New Application,Undergrad,8,Accepted
1802,Beijing_HDFL,Asia,China,High School,High School,17,Withdrawn
1617,Berlin,Europe,Germany,Environment,Overgrad,13,Accepted
1699,BGU_Israel,Asia,Israel,Health & Medicine,Overgrad,10,Accepted
1726,BHSF_Beijing,Asia,China,High School,High School,9,Withdrawn
1758,Bielefeld-CeBiTec,Europe,Germany,Environment,Overgrad,15,Accepted
1684,BIOSINT_Mexico,Latin America,Mexico,Art & Design,Undergrad,16,Accepted
1846,Birkbeck,Europe,United Kingdom,Health & Medicine,Overgrad,10,Accepted
1651,BIT,Asia,China,Health & Medicine,Undergrad,22,Accepted
1675,BIT-China,Asia,China,New Application,Undergrad,26,Accepted
1660,BNU-CHINA,Asia,China,Environment,Undergrad,33,Accepted
1686,Bordeaux,Europe,France,Environment,Overgrad,24,Accepted
1733,BostonU,North America,United States,Foundational Advance,Undergrad,10,Accepted
1819,Brasil-USP,Latin America,Brazil,Environment,Overgrad,26,Accepted
1813,British_Columbia,North America,Canada,Environment,Undergrad,21,Accepted
1871,BroadRun-NorthernVA,North America,United States,High School,High School,9,Accepted
1854,Cairo_Egypt,Africa,Egypt,Health & Medicine,Undergrad,22,Accepted
1703,Cambridge-JIC,Europe,United Kingdom,Hardware,Undergrad,16,Accepted
1732,Carnegie_Mellon,North America,United States,Measurement,Undergrad,12,Accepted
1657,CAU_China,Asia,China,Foundational Advance,Undergrad,31,Accepted
1762,CCA_SanDiego,North America,United States,High School,High School,12,Accepted
1821,Central_Calgary,North America,Canada,High School,High School,14,Accepted
1728,CGU_Taiwan,Asia,Taiwan,Health & Medicine,Overgrad,20,Accepted
1603,Chalmers-Gothenburg,Europe,Sweden,New Application,Overgrad,17,Accepted
1779,CHINA_CD_UESTC,Asia,China,Energy,Undergrad,15,Accepted
1634,China_Tongji,Asia,China,New Application,Undergrad,13,Accepted
1695,CityU_HK,Asia,Hong Kong,Health & Medicine,Undergrad,21,Accepted
1664,Colegio_EmelinaU,Latin America,Chile,High School,High School,4,Accepted
1848,Columbia_NYC,North America,United States,Food & Nutrition,Undergrad,6,Accepted
1830,Concordia,North America,Canada,Foundational Advance,Overgrad,15,Accepted
1834,Consort_Alberta,North America,Canada,High School,High School,7,Accepted
1746,Cooper_Union,North America,United States,Hardware,Undergrad,13,Accepted
1698,Cork_Ireland,Europe,Ireland,Health & Medicine,Undergrad,11,Accepted
1595,Cornell,North America,United States,Environment,Undergrad,27,Accepted
1702,CSU_Fort_Collins,North America,United States,Manufacturing,Undergrad,16,Accepted
